math_score,cs_score,communication,extracurricular,internship,career
54,52,1,none,yes,Data Scientist
46,34,5,tech,yes,Manager
95,94,5,arts,yes,Manager
82,59,7,none,no,Teacher
80,50,4,tech,yes,Data Scientist
68,99,3,tech,no,Teacher
80,51,1,arts,yes,Data Scientist
99,61,8,none,yes,Software Engineer
35,62,3,tech,yes,Manager
96,45,2,tech,yes,Teacher
36,67,4,tech,yes,Software Engineer
80,43,3,arts,no,Software Engineer
71,65,1,none,yes,Teacher
93,52,3,none,yes,Teacher
44,95,2,none,yes,Software Engineer
58,31,8,none,no,Data Scientist
62,94,6,sports,no,Software Engineer
56,96,9,sports,no,Teacher
65,81,8,none,no,Software Engineer
58,91,10,arts,yes,Data Scientist
67,52,3,sports,yes,Manager
86,55,5,tech,yes,Manager
56,97,7,sports,no,Software Engineer
84,84,5,tech,yes,Data Scientist
62,35,8,none,yes,Manager
97,64,5,sports,no,Software Engineer
95,51,1,arts,no,Software Engineer
39,72,5,sports,no,Data Scientist
34,44,4,sports,yes,Teacher
67,89,6,sports,yes,Software Engineer
42,41,3,none,no,Teacher
60,78,5,arts,yes,Teacher
76,71,2,sports,no,Manager
81,67,6,arts,no,Teacher
85,74,6,none,yes,Data Scientist
44,64,5,tech,no,Manager
58,59,6,sports,no,Manager
37,59,7,arts,no,Manager
34,35,5,arts,yes,Software Engineer
58,96,1,none,no,Software Engineer
76,36,8,sports,no,Teacher
97,81,4,tech,no,Manager
74,43,9,arts,no,Manager
31,44,10,sports,no,Data Scientist
56,50,6,tech,no,Teacher
65,64,1,arts,no,Data Scientist
65,95,3,arts,yes,Teacher
55,31,3,tech,yes,Teacher
72,64,10,tech,no,Software Engineer
56,49,4,none,yes,Software Engineer
98,39,6,sports,yes,Data Scientist
49,54,7,sports,no,Teacher
40,95,10,none,yes,Manager
67,54,4,arts,no,Software Engineer
35,83,6,tech,no,Manager
52,62,1,tech,no,Data Scientist
76,65,8,tech,no,Software Engineer
75,43,7,arts,no,Software Engineer
41,94,9,tech,yes,Teacher
42,83,3,tech,no,Data Scientist
91,81,2,none,yes,Teacher
89,32,1,arts,no,Software Engineer
72,70,3,sports,no,Data Scientist
97,35,5,none,no,Software Engineer
34,54,2,none,yes,Data Scientist
66,42,3,sports,no,Software Engineer
60,37,4,none,no,Manager
38,50,7,arts,no,Manager
80,97,3,tech,no,Teacher
58,54,9,arts,yes,Manager
69,97,8,sports,no,Software Engineer
70,74,4,sports,yes,Software Engineer
40,89,1,none,no,Manager
52,41,1,arts,yes,Teacher
30,61,1,arts,yes,Manager
75,42,1,sports,no,Data Scientist
50,60,8,arts,no,Data Scientist
65,49,3,sports,yes,Data Scientist
83,47,6,arts,no,Manager
86,89,3,arts,no,Manager
30,92,5,arts,no,Manager
92,35,7,sports,yes,Data Scientist
83,61,2,none,no,Teacher
84,72,6,arts,no,Software Engineer
69,31,6,sports,no,Manager
44,89,3,sports,yes,Teacher
50,52,6,arts,no,Software Engineer
76,60,10,arts,yes,Software Engineer
82,34,10,none,no,Software Engineer
38,63,5,sports,yes,Teacher
81,39,2,sports,no,Teacher
86,31,9,tech,no,Data Scientist
55,40,8,sports,yes,Teacher
70,79,3,none,yes,Teacher
64,60,8,tech,yes,Teacher
92,85,9,tech,no,Software Engineer
54,38,3,tech,no,Manager
67,50,3,arts,no,Data Scientist
31,57,2,arts,no,Manager
36,91,8,sports,yes,Manager
63,36,10,tech,no,Teacher
46,45,1,none,no,Data Scientist
72,33,8,arts,no,Manager
88,33,7,none,no,Manager
80,69,7,none,no,Data Scientist
83,46,3,arts,no,Teacher
53,81,1,arts,no,Manager
54,81,4,arts,yes,Software Engineer
81,65,9,arts,no,Manager
99,67,5,tech,no,Software Engineer
62,79,1,tech,no,Teacher
78,92,5,tech,no,Manager
58,92,8,tech,yes,Data Scientist
92,91,8,sports,yes,Data Scientist
51,36,5,tech,yes,Manager
55,56,9,arts,yes,Teacher
57,43,1,none,yes,Teacher
78,34,4,tech,yes,Data Scientist
78,84,3,sports,no,Manager
49,31,2,arts,yes,Teacher
92,91,8,none,yes,Data Scientist
90,50,7,none,no,Software Engineer
78,50,9,tech,yes,Manager
30,39,2,none,no,Software Engineer
42,87,4,tech,no,Software Engineer
80,68,6,tech,yes,Teacher
85,34,3,arts,no,Teacher
91,94,8,arts,yes,Teacher
61,42,3,sports,yes,Manager
59,82,2,arts,no,Software Engineer
58,74,3,arts,no,Manager
78,61,6,tech,yes,Teacher
74,65,2,arts,no,Software Engineer
59,89,8,tech,no,Manager
45,40,1,tech,yes,Manager
69,92,7,arts,yes,Data Scientist
48,50,2,sports,no,Manager
47,81,10,sports,yes,Teacher
30,84,6,none,yes,Manager
76,55,2,none,yes,Software Engineer
95,97,2,arts,yes,Manager
67,63,10,sports,yes,Data Scientist
80,81,8,tech,yes,Software Engineer
92,81,2,none,yes,Software Engineer
33,58,7,tech,no,Data Scientist
30,67,3,none,yes,Teacher
37,71,8,arts,no,Software Engineer
58,50,7,sports,no,Teacher
84,71,8,none,no,Software Engineer
32,42,7,sports,yes,Software Engineer
61,93,6,tech,yes,Teacher
39,46,7,arts,no,Software Engineer
63,38,5,sports,yes,Teacher
84,70,7,arts,no,Data Scientist
61,30,1,sports,yes,Teacher
79,31,1,tech,yes,Data Scientist
36,89,9,tech,no,Software Engineer
37,77,5,arts,no,Teacher
94,58,5,tech,no,Software Engineer
86,39,3,none,yes,Teacher
96,87,5,sports,no,Data Scientist
88,89,3,tech,yes,Data Scientist
83,50,9,none,yes,Teacher
96,57,9,arts,yes,Data Scientist
80,63,6,none,no,Software Engineer
37,37,1,arts,no,Software Engineer
63,88,7,arts,no,Manager
64,78,7,sports,yes,Data Scientist
61,46,10,sports,yes,Software Engineer
75,89,10,none,no,Teacher
45,74,4,sports,yes,Data Scientist
97,98,8,sports,yes,Software Engineer
66,61,6,sports,no,Data Scientist
83,73,4,none,no,Teacher
43,94,4,tech,no,Software Engineer
84,37,2,sports,yes,Manager
77,72,2,sports,yes,Manager
36,30,4,none,yes,Data Scientist
